11305,basic,,
11601,basic,,
20001,basic,,
20004,dp,,
20005,greedy,,
20006,basic,,
20008,basic,,
20009,basic,,
20010,basic,,
20018,basic,,
20019,recursion,,
20025,basic,,
20035,dp,,
20040,greedy,,
29003,dp,,
29004,basic,,
29005,greedy,,
29009,basic,,
29010,basic,,
29013,basic,,
29014,basic,,
29017,basic,,
29027,recursion,,
29028,dp,knapsack,recursion
29029,basic,,
29030,PENDING,,
29038,knapsack,,
29040,basic,,
29042,PENDING,,
29043,PENDING,,
29044,PENDING,,
29045,basic,,
29046,basic,hash,
29052,dijkstra,,
29054,basic,,
29055,PENDING,,
29057,basic,,
29059,basic,,
29061,basic,,
29062,basic,,
29066,basic,,
29070,basic,,
29071,PENDING,dp,
29072,PENDING,,
29074,basic,,
29076,recursion,,
29083,basic,,
29084,basic,,
29085,dp,,
30001,mst,,
30002,dp,,
30003,basic,,
32001,bfs,,
39003,basic,,
39011,PENDING,,
39016,bfs,,
39024,basic,,
39032,basic,,
39033,basic,,
39036,basic,,
39037,basic,,
39040,basic,,
39041,basic,,
39044,PENDING,EASY,
39047,PENDING,,
39048,basic,,
39054,basic,,
39072,basic,,
51008,PENDING,,
51081,PENDING,,
51611,PENDING,,
52101,PENDING,,
53360,PENDING,,
53386,basic,,
53408,dijkstra,,
53555,PENDING,EASY,
53657,PENDING,,
agrinet,,,
ariprog,,,
barn1,,,
beads,,,
castle,,,
combo,,,
comehome,,,
concom,,,
contact,,,
crypt1,,,
fact4,,,
frac1,,,
fracdec,,,
hamming,,,
holstein,,,
humble,,,
inflate,,,
kimbits,dp,,
lamps,,,
milk,,,
milk2,,,
milk3,,,
money,,,
msquare,,,
namenum,,,
nocows,,,
numtri,,,
pprime,,,
preface,,,
prefix,,,
ratios,,,
ride,,,
runround,,,
skidesign,,,
sort3,,,
sprime,,,
stamps,,,
subset,,,
transform,,,
ttwo,,,
zerosum,,,
